,Unnamed: 0,area_type,location,size,society,total_sqft,bath,balcony,price
8296,8513,Super built-up  Area,Bethel Nagar,1 BHK,,560,1.0,0.0,19.0
7937,8130,Plot  Area,Jnanabharathi Layout,4 BHK,,860,4.0,2.0,125.0
10553,10917,Super built-up  Area,Jakkur,3 BHK,Ceezey ,1761,3.0,1.0,84.52
6508,6652,Super built-up  Area,Kodichikkanahalli,2 BHK,,1026,2.0,1.0,45.0
4028,4081,Super built-up  Area,Prithvi Layout,2 BHK,Prlmsge,1352,2.0,2.0,75.0
9586,9894,Built-up  Area, Devarachikkanahalli,2 BHK,Sarch M,1116,2.0,1.0,47.0
4828,4900,Super built-up  Area,7th Phase JP Nagar,3 BHK,BriumMi,1450,3.0,2.0,100.0
5563,5664,Super built-up  Area,Kaggadasapura,3 BHK,,1340,3.0,1.0,66.0
565,565,Super built-up  Area,Electronics City Phase 1,3 BHK,GaicaVe,1490,3.0,1.0,84.0
8794,9049,Built-up  Area,CV Raman Nagar,3 BHK,Satlea ,1835,3.0,2.0,160.0
1803,1812,Built-up  Area,Sarjapur,4 BHK,,1550,2.0,2.0,65.0
3705,3748,Super built-up  Area,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,94.71
11144,11549,Built-up  Area,Thanisandra,4 BHK,G conTh,2695,4.0,3.0,188.0
1642,1649,Plot  Area,New Thippasandra,4 BHK,,817,2.0,1.0,120.0
6423,6566,Plot  Area,Karuna Nagar,3 BHK,CoinoCu,1240,3.0,2.0,165.0
2856,2883,Super built-up  Area,Ganga Nagar Extension,3 BHK,,1000,2.0,1.0,65.0
4381,4441,Super built-up  Area,Electronics City Phase 1,2 BHK,Shitt S,1175,2.0,1.0,57.0
2608,2629,Super built-up  Area,Sarjapur  Road,3 BHK,,1220,3.0,2.0,58.0
11212,11622,Super built-up  Area,Anantapuram,3 BHK,GKiewke,1495,2.0,1.0,63.0
46,46,Super built-up  Area,Doddathoguru,2 BHK,LancyRe,970,2.0,0.0,33.0
1149,1152,Super built-up  Area,Whitefield,2 BHK,BrlisCo,1360,2.0,1.0,95.0
7696,7881,Super built-up  Area,Rajarajeshwari Nagara,3 BHK,,1410,2.0,2.0,45.12
