,area_type,size,total_sqft,bath,balcony,price
0,Super built-up  Area,2 BHK,1056.0,2.0,1.0,39.07
1,Plot  Area,4 BHK,2600.0,5.0,3.0,120.0
2,Built-up  Area,3 BHK,1440.0,2.0,3.0,62.0
3,Super built-up  Area,3 BHK,1521.0,3.0,1.0,95.0
4,Super built-up  Area,2 BHK,1200.0,2.0,1.0,51.0
5,Super built-up  Area,2 BHK,1170.0,2.0,1.0,38.0
6,Super built-up  Area,4 BHK,2732.0,4.0,,204.0
7,Super built-up  Area,4 BHK,3300.0,4.0,,600.0
8,Super built-up  Area,3 BHK,1310.0,3.0,1.0,63.25
9,Plot  Area,6 BHK,1020.0,6.0,,370.0
10,Super built-up  Area,3 BHK,1800.0,2.0,2.0,70.0
11,Plot  Area,4 BHK,2785.0,5.0,3.0,295.0
12,Super built-up  Area,2 BHK,1000.0,2.0,1.0,38.0
13,Built-up  Area,2 BHK,1100.0,2.0,2.0,40.0
14,Plot  Area,3 BHK,2250.0,3.0,2.0,148.0
15,Super built-up  Area,2 BHK,1175.0,2.0,2.0,73.5
16,Super built-up  Area,3 BHK,1180.0,3.0,2.0,48.0
17,Super built-up  Area,3 BHK,1540.0,3.0,3.0,60.0
18,Super built-up  Area,3 BHK,2770.0,4.0,2.0,290.0
19,Super built-up  Area,2 BHK,1100.0,2.0,2.0,48.0
20,Built-up  Area,1 BHK,600.0,1.0,1.0,15.0
21,Super built-up  Area,3 BHK,1755.0,3.0,1.0,122.0
22,Plot  Area,4 BHK,2800.0,5.0,2.0,380.0
23,Super built-up  Area,3 BHK,1767.0,3.0,1.0,103.0
24,Super built-up  Area,1 RK,510.0,1.0,0.0,25.25
25,Super built-up  Area,3 BHK,1250.0,3.0,2.0,56.0
26,Super built-up  Area,2 BHK,660.0,1.0,1.0,23.1
27,Built-up  Area,3 BHK,1610.0,3.0,2.0,81.0
28,Super built-up  Area,2 BHK,1151.0,2.0,2.0,48.77
29,Super built-up  Area,3 BHK,1025.0,2.0,1.0,47.0
30,Super built-up  Area,4 BHK,2475.0,4.0,0.0,186.0
31,Super built-up  Area,3 BHK,1075.0,2.0,1.0,35.0
32,Super built-up  Area,3 BHK,1760.0,2.0,2.0,123.0
33,Super built-up  Area,3 BHK,1693.0,3.0,3.0,57.39
34,Built-up  Area,3 BHK,1925.0,3.0,,125.0
35,Super built-up  Area,2 BHK,700.0,2.0,1.0,36.0
36,Super built-up  Area,2 BHK,1070.0,2.0,1.0,45.5
37,Super built-up  Area,3 BHK,1724.0,3.0,2.0,125.0
38,Super built-up  Area,3 BHK,1290.0,2.0,2.0,56.12
39,Built-up  Area,2 BHK,1143.0,2.0,2.0,45.0
40,Built-up  Area,2 BHK,1296.0,2.0,,81.0
41,Super built-up  Area,3 BHK,1254.0,3.0,2.0,38.0
42,Super built-up  Area,1 BHK,600.0,1.0,0.0,38.0
43,Plot  Area,1 BHK,660.0,1.0,0.0,48.0
44,Super built-up  Area,2 BHK,1330.74,2.0,2.0,91.79
45,Plot  Area,8 BHK,600.0,9.0,,200.0
46,Super built-up  Area,2 BHK,970.0,2.0,0.0,33.0
47,Super built-up  Area,2 BHK,1459.0,2.0,1.0,94.82
48,Plot  Area,2 BHK,800.0,1.0,1.0,130.0
49,Built-up  Area,2 BHK,869.0,2.0,1.0,36.0
50,Super built-up  Area,2 BHK,1270.0,2.0,1.0,50.0
51,Super built-up  Area,3 BHK,1670.0,3.0,1.0,99.0
52,Built-up  Area,3 BHK,2010.0,3.0,2.0,91.0
53,Super built-up  Area,2 BHK,1185.0,2.0,2.0,75.0
54,Super built-up  Area,3 BHK,1600.0,2.0,3.0,75.0
55,Super built-up  Area,2 BHK,1200.0,2.0,2.0,44.0
56,Built-up  Area,4 BHK,3210.0,,,192.0
57,Super built-up  Area,2 BHK,1500.0,2.0,2.0,185.0
58,Plot  Area,6 BHK,1407.0,4.0,1.0,150.0
59,Super built-up  Area,2 BHK,840.0,2.0,2.0,45.0
60,Plot  Area,3 BHK,4395.0,3.0,2.0,240.0
61,Super built-up  Area,2 BHK,845.0,2.0,1.0,55.0
62,Plot  Area,4 BHK,5700.0,5.0,3.0,650.0
63,Built-up  Area,2 BHK,1160.0,2.0,2.0,44.0
64,Built-up  Area,8 BHK,3000.0,8.0,0.0,140.0
65,Super built-up  Area,2 BHK,1100.0,2.0,1.0,62.0
66,Super built-up  Area,2 BHK,1140.0,2.0,3.0,43.0
67,Super built-up  Area,2 BHK,1220.0,2.0,1.0,57.0
68,Plot  Area,8 BHK,1350.0,7.0,0.0,85.0
69,Super built-up  Area,2 BHK,1005.0,2.0,1.0,36.68
70,Plot  Area,3 BHK,500.0,3.0,2.0,100.0
71,Super built-up  Area,2 BHK,1358.0,2.0,1.0,80.58
72,Super built-up  Area,3 BHK,1569.0,3.0,1.0,101.0
73,Super built-up  Area,2 BHK,1240.0,2.0,1.0,70.0
74,Super built-up  Area,3 BHK,2089.0,3.0,2.0,140.0
75,Super built-up  Area,2 BHK,1206.0,2.0,1.0,48.23
76,Super built-up  Area,2 BHK,1150.0,2.0,3.0,40.0
77,Built-up  Area,3 BHK,2511.0,3.0,3.0,205.0
78,Built-up  Area,2 BHK,460.0,1.0,0.0,22.0
79,Built-up  Area,6 BHK,4400.0,6.0,3.0,250.0
80,Super built-up  Area,3 BHK,1660.0,2.0,2.0,105.0
81,Built-up  Area,4 BHK,3203.5,,,224.5
82,Super built-up  Area,2 BHK,1326.0,2.0,2.0,78.0
83,Super built-up  Area,3 BHK,1325.0,2.0,2.0,60.8
84,Super built-up  Area,3 BHK,1499.0,5.0,2.0,102.0
85,Built-up  Area,6 BHK,3000.0,7.0,2.0,210.0
86,Super built-up  Area,3 BHK,1665.0,3.0,2.0,88.0
87,Super built-up  Area,2 BHK,708.0,2.0,2.0,37.0
